iter	Passed	Remaining
407	4119	5977
408	4126	5963
409	4135	5950
410	4142	5936
411	4150	5923
412	4157	5908
413	4164	5894
414	4172	5882
415	4179	5867
416	4188	5856
417	4197	5843
418	4204	5830
419	4212	5816
420	4219	5803
421	4226	5789
422	4235	5777
423	4244	5765
424	4254	5756
425	4264	5746
426	4274	5735
427	4283	5724
428	4292	5712
429	4301	5702
430	4314	5695
431	4325	5687
432	4337	5679
433	4350	5673
434	4366	5671
435	4386	5673
436	4403	5673
437	4419	5670
438	4435	5668
439	4450	5664
440	4464	5659
441	4477	5652
442	4495	5652
443	4515	5654
444	4532	5653
445	4548	5650
446	4563	5645
447	4578	5641
448	4592	5635
449	4602	5625
450	4623	5628
451	4641	5627
452	4656	5622
453	4669	5615
454	4689	5617
455	4702	5609
456	4713	5600
457	4725	5592
458	4738	5584
459	4746	5571
460	4759	5564
461	4769	5554
462	4777	5541
463	4787	5529
464	4794	5516
465	4801	5502
466	4808	5488
467	4817	5476
468	4824	5462
469	4834	5451
470	4841	5437
471	4851	5427
472	4858	5413
473	4867	5401
474	4874	5387
475	4882	5375
476	4889	5361
477	4897	5348
478	4904	5334
479	4915	5324
480	4923	5312
481	4932	5300
482	4939	5287
483	4949	5276
484	4958	5264
485	4966	5253
486	4975	5240
487	4986	5231
488	4995	5220
489	5008	5213
490	5018	5202
491	5030	5194
492	5041	5184
493	5056	5179
494	5069	5171
495	5086	5168
496	5098	5160
497	5109	5150
498	5119	5140
499	5133	5133
500	5146	5125
501	5162	5121
502	5174	5112
503	5183	5101
504	5196	5093
505	5207	5083
506	5216	5072
507	5228	5063
508	5236	5051
509	5245	5039
510	5255	5029
511	5262	5016
512	5272	5005
513	5279	4991
514	5287	4979
515	5294	4966
516	5303	4954
517	5310	4941
518	5318	4929
519	5325	4915
520	5332	4902
521	5339	4889
522	5346	4876
523	5354	4863
524	5361	4850
525	5369	4838
526	5375	4824
527	5383	4812
528	5389	4798
529	5397	4786
530	5404	4773
531	5412	4761
532	5420	4749
533	5427	4736
534	5436	4725
535	5443	4712
536	5451	4700
537	5458	4687
538	5468	4676
